Entity,Code,Date,people_fully_vaccinated
Albania,ALB,2021-02-02,1
Albania,ALB,2021-02-09,438
Albania,ALB,2021-02-17,611
Albania,ALB,2021-02-18,611
Albania,ALB,2021-02-22,655
Argentina,ARG,2021-01-20,4394
Argentina,ARG,2021-01-21,16352
Argentina,ARG,2021-01-22,25146
Argentina,ARG,2021-01-23,29188
Argentina,ARG,2021-01-24,31987
Argentina,ARG,2021-01-25,32264
Argentina,ARG,2021-01-26,38911
Argentina,ARG,2021-01-27,45710
Argentina,ARG,2021-01-28,51451
Argentina,ARG,2021-01-29,65583
Argentina,ARG,2021-01-30,85361
Argentina,ARG,2021-02-01,94274
Argentina,ARG,2021-02-03,112366
Argentina,ARG,2021-02-04,146301
Argentina,ARG,2021-02-06,163882
Argentina,ARG,2021-02-07,181836
Argentina,ARG,2021-02-08,189264
Argentina,ARG,2021-02-09,190203
Argentina,ARG,2021-02-10,197531
Argentina,ARG,2021-02-11,210279
Argentina,ARG,2021-02-12,223609
Argentina,ARG,2021-02-13,234616
Argentina,ARG,2021-02-14,237483
Argentina,ARG,2021-02-15,237610
Argentina,ARG,2021-02-16,237916
Argentina,ARG,2021-02-17,238320
Argentina,ARG,2021-02-18,243184
Argentina,ARG,2021-02-19,253696
Argentina,ARG,2021-02-20,261534
Argentina,ARG,2021-02-21,263338
Argentina,ARG,2021-02-22,263412
Argentina,ARG,2021-02-23,264926
Argentina,ARG,2021-02-24,267061
Argentina,ARG,2021-02-25,271001
Argentina,ARG,2021-02-26,283280
Argentina,ARG,2021-02-27,290425
Argentina,ARG,2021-02-28,293432
Argentina,ARG,2021-03-01,293957
Argentina,ARG,2021-03-02,302662
Argentina,ARG,2021-03-03,306376
Argentina,ARG,2021-03-04,310766
Argentina,ARG,2021-03-05,327092
Argentina,ARG,2021-03-07,343204
Argentina,ARG,2021-03-08,343701
Argentina,ARG,2021-03-09,347170
Austria,AUT,2021-01-17,323
Austria,AUT,2021-01-18,1196
Austria,AUT,2021-01-19,2623
Austria,AUT,2021-01-20,3889
Austria,AUT,2021-01-21,4049
Austria,AUT,2021-01-22,4629
Austria,AUT,2021-01-23,4630
Austria,AUT,2021-01-24,4631
Austria,AUT,2021-01-25,4737
Austria,AUT,2021-01-26,5586
Austria,AUT,2021-01-27,6017
Austria,AUT,2021-01-28,8431
Austria,AUT,2021-01-29,17874
Austria,AUT,2021-01-30,20191
Austria,AUT,2021-01-31,21187
Austria,AUT,2021-02-01,24143
Austria,AUT,2021-02-02,37595
Austria,AUT,2021-02-03,51492
Austria,AUT,2021-02-04,67746
Austria,AUT,2021-02-05,83759
Austria,AUT,2021-02-06,89836
Austria,AUT,2021-02-07,94090
Austria,AUT,2021-02-08,101523
Austria,AUT,2021-02-09,117279
Austria,AUT,2021-02-10,135054
Austria,AUT,2021-02-11,153462
Austria,AUT,2021-02-12,171150
Austria,AUT,2021-02-13,176018
Austria,AUT,2021-02-14,177393
Austria,AUT,2021-02-15,180480
Austria,AUT,2021-02-16,187791
Austria,AUT,2021-02-17,197142
Austria,AUT,2021-02-18,204855
Austria,AUT,2021-02-19,213119
Austria,AUT,2021-02-20,214779
Austria,AUT,2021-02-21,215122
Austria,AUT,2021-02-22,216856
Austria,AUT,2021-02-23,221191
Austria,AUT,2021-02-24,224530
Austria,AUT,2021-02-25,227839
Austria,AUT,2021-02-26,232289
Austria,AUT,2021-02-27,234215
Austria,AUT,2021-02-28,234618
Austria,AUT,2021-03-01,235379
Austria,AUT,2021-03-02,237586
Austria,AUT,2021-03-03,239730
Austria,AUT,2021-03-04,242240
Austria,AUT,2021-03-05,244906
Austria,AUT,2021-03-06,247292
Austria,AUT,2021-03-07,247915
Austria,AUT,2021-03-08,249157
Austria,AUT,2021-03-09,252097
Bahrain,BHR,2021-03-06,199374
Bahrain,BHR,2021-03-07,201442
Bahrain,BHR,2021-03-08,202679
Bahrain,BHR,2021-03-09,203915
Belgium,BEL,2021-01-18,109
Belgium,BEL,2021-01-19,290
Belgium,BEL,2021-01-20,713
Belgium,BEL,2021-01-21,713
Belgium,BEL,2021-01-22,745
Belgium,BEL,2021-01-23,752
Belgium,BEL,2021-01-24,752
Belgium,BEL,2021-01-25,752
Belgium,BEL,2021-01-26,2238
Belgium,BEL,2021-01-27,5534
Belgium,BEL,2021-01-28,12637
Belgium,BEL,2021-01-29,21038
Belgium,BEL,2021-01-30,23910
Belgium,BEL,2021-01-31,24238
Belgium,BEL,2021-02-01,27967
Belgium,BEL,2021-02-02,41280
Belgium,BEL,2021-02-03,60913
Belgium,BEL,2021-02-04,84068
Belgium,BEL,2021-02-05,106028
Belgium,BEL,2021-02-06,111148
Belgium,BEL,2021-02-07,113965
Belgium,BEL,2021-02-08,121571
Belgium,BEL,2021-02-09,140601
Belgium,BEL,2021-02-10,158922
Belgium,BEL,2021-02-11,186390
Belgium,BEL,2021-02-12,213593
Belgium,BEL,2021-02-13,221444
Belgium,BEL,2021-02-14,223288
Belgium,BEL,2021-02-15,234664
Belgium,BEL,2021-02-16,244716
Belgium,BEL,2021-02-17,257039
Belgium,BEL,2021-02-18,272799
Belgium,BEL,2021-02-19,285188
Belgium,BEL,2021-02-20,286758
Belgium,BEL,2021-02-21,287018
Belgium,BEL,2021-02-22,289739
Belgium,BEL,2021-02-23,297022
Belgium,BEL,2021-02-24,304551
Belgium,BEL,2021-02-25,312267
Belgium,BEL,2021-02-26,318271
Belgium,BEL,2021-02-27,319006
Belgium,BEL,2021-02-28,319227
Belgium,BEL,2021-03-01,321833
Belgium,BEL,2021-03-02,327956
Belgium,BEL,2021-03-03,332732
Belgium,BEL,2021-03-04,339296
Belgium,BEL,2021-03-05,344443
Belgium,BEL,2021-03-06,344869
Belgium,BEL,2021-03-07,345044
Belgium,BEL,2021-03-08,345696
Bermuda,BMU,2021-02-06,1591
Bermuda,BMU,2021-02-09,1600
Bermuda,BMU,2021-02-22,4769
Bermuda,BMU,2021-02-27,7046
Bermuda,BMU,2021-03-03,8645
Bolivia,BOL,2021-03-02,9162
Bolivia,BOL,2021-03-03,9540
Bolivia,BOL,2021-03-04,9700
Bolivia,BOL,2021-03-05,9785
Bolivia,BOL,2021-03-06,9785
Bolivia,BOL,2021-03-07,9785
Bolivia,BOL,2021-03-08,9830
Bolivia,BOL,2021-03-09,9870
Brazil,BRA,2021-02-06,1962
Brazil,BRA,2021-02-07,19677
Brazil,BRA,2021-02-08,25688
Brazil,BRA,2021-02-09,33616
Brazil,BRA,2021-02-10,50655
Brazil,BRA,2021-02-11,80760
Brazil,BRA,2021-02-12,109866
Brazil,BRA,2021-02-13,178468
Brazil,BRA,2021-02-14,194230
Brazil,BRA,2021-02-15,217869
Brazil,BRA,2021-02-16,285620
Brazil,BRA,2021-02-17,557532
Brazil,BRA,2021-02-18,723755
Brazil,BRA,2021-02-19,894673
Brazil,BRA,2021-02-20,1056807
Brazil,BRA,2021-02-21,1132894
Brazil,BRA,2021-02-22,1171276
Brazil,BRA,2021-02-23,1294188
Brazil,BRA,2021-02-24,1435594
Brazil,BRA,2021-02-25,1596945
Brazil,BRA,2021-02-26,1755018
Brazil,BRA,2021-02-27,1884206
Brazil,BRA,2021-02-28,1914940
Brazil,BRA,2021-03-01,1923197
Brazil,BRA,2021-03-02,2034734
Brazil,BRA,2021-03-03,2163103
Brazil,BRA,2021-03-04,2321824
Brazil,BRA,2021-03-05,2468014
Brazil,BRA,2021-03-06,2617603
Brazil,BRA,2021-03-07,2688684
Brazil,BRA,2021-03-08,2720738
Brazil,BRA,2021-03-09,2852528
Bulgaria,BGR,2021-01-18,1114
Bulgaria,BGR,2021-01-19,3168
Bulgaria,BGR,2021-01-20,4293
Bulgaria,BGR,2021-01-21,4532
Bulgaria,BGR,2021-01-22,4605
Bulgaria,BGR,2021-01-23,4610
Bulgaria,BGR,2021-01-24,4610
Bulgaria,BGR,2021-01-25,4669
Bulgaria,BGR,2021-01-26,5455
Bulgaria,BGR,2021-01-27,7672
Bulgaria,BGR,2021-01-28,10883
Bulgaria,BGR,2021-01-29,12949
Bulgaria,BGR,2021-01-30,13063
Bulgaria,BGR,2021-01-31,13084
Bulgaria,BGR,2021-02-01,13656
Bulgaria,BGR,2021-02-02,15100
Bulgaria,BGR,2021-02-03,16433
Bulgaria,BGR,2021-02-04,17096
Bulgaria,BGR,2021-02-05,17392
Bulgaria,BGR,2021-02-06,17392
Bulgaria,BGR,2021-02-07,17392
Bulgaria,BGR,2021-02-08,17481
Bulgaria,BGR,2021-02-09,17946
Bulgaria,BGR,2021-02-10,18612
Bulgaria,BGR,2021-02-11,19688
Bulgaria,BGR,2021-02-12,20571
Bulgaria,BGR,2021-02-13,20674
Bulgaria,BGR,2021-02-14,20698
Bulgaria,BGR,2021-02-15,21323
Bulgaria,BGR,2021-02-16,22776
Bulgaria,BGR,2021-02-17,24107
